,Time,Temperature,Pressure,Humidity,Day_length,Month,Day_of_month,Wind_speed,Radiation
0,8288,48,30.46,59,43200,3,21,0.61686985695452,1.21
1,8257,48,30.46,58,43200,3,21,2.2220881576460734,1.21
2,8228,48,30.46,57,43200,3,21,-0.3350000547387577,1.23
3,8194,48,30.46,60,43200,3,21,2.924422096779282,1.21
4,8168,48,30.46,62,43200,3,21,-1.6251042673820362,1.17
5,8141,48,30.46,64,43200,3,21,3.8362228022460476,1.21
6,8108,49,30.46,72,43200,3,21,5.384430937817519,1.2
7,8085,49,30.46,71,43200,3,21,-5.065667848758024,1.24
8,8056,49,30.46,80,43200,3,21,3.5850032154960942,1.23
9,8027,49,30.46,85,43200,3,21,-3.95271763723447,1.21
10,8001,49,30.47,93,43200,3,21,0.8789201815635477,1.23
11,7975,49,30.47,98,43200,3,21,3.1954482647329043,1.21
12,7938,49,30.47,99,43200,3,21,0.005893321285343346,1.22
13,7907,50,30.47,99,43200,3,21,-2.02436935079416,1.21
14,7885,50,30.47,99,43200,3,21,-5.614347380151696,1.23
15,7853,50,30.47,99,43200,3,21,3.4915255197842847,1.22
16,7821,50,30.47,99,43200,3,21,-8.842596071886325,1.21
17,7796,50,30.47,99,43200,3,21,-3.9679531455478005,1.22
18,7764,50,30.47,98,43200,3,21,-6.399196179611126,1.22
19,7740,50,30.47,98,43200,3,21,-6.593519029731945,1.2
20,7713,50,30.47,98,43200,3,21,1.2471985156559176,1.2
21,7682,50,30.47,97,43200,3,21,-3.5160527367448844,1.2
22,7652,50,30.47,97,43200,3,21,1.3316851116529322,1.21
23,7628,50,30.47,97,43200,3,21,-5.049681689383635,1.22
24,7594,50,30.47,96,43200,3,21,2.924285129670798,1.22
25,7574,50,30.47,96,43200,3,21,-1.0270996558308318,1.22
26,7547,50,30.47,95,43200,3,21,-4.349073049008014,1.24
27,7513,50,30.47,95,43200,3,21,5.92249319903601,1.23
28,7485,50,30.47,95,43200,3,21,-7.753328792243975,1.23
29,7456,50,30.47,95,43200,3,21,5.191867054097458,1.23
30,7427,50,30.47,94,43200,3,21,-5.596253592130019,1.24
31,7397,50,30.47,93,43200,3,21,-3.777807019449977,1.2
32,7372,50,30.47,93,43200,3,21,-0.15051964500220869,1.24
33,7339,49,30.47,93,43200,3,21,-8.164064224004427,1.21
34,7315,50,30.47,93,43200,3,21,-5.60250374670019,1.24
